sample_id,method,true_species,correct,high_energy_overlap,low_energy_overlap,clip_border_overlap
000001_seg01_spinner_dolphin_train_1_000104,saliency,Spinner Dolphin,True,1.0,0.3694434339759913,0.1970898508548563
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,Spinner Dolphin,True,1.0,0.306786915316417,0.18916233567716295
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg01_spinner_dolphin_train_1_000104,guided_backprop,Spinner Dolphin,True,1.0,0.4281402368237752,0.18651807135670614
000001_seg02_spinner_dolphin_train_1_000104,gradcam,Spinner Dolphin,True,1.0,0.3657475670893542,0.16153052196992038
000001_seg02_spinner_dolphin_train_1_000104,integrated_gradients,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg02_spinner_dolphin_train_1_000104,occlusion,Spinner Dolphin,True,1.0,0.8876307522353022,0.0932095142748645
000001_seg02_spinner_dolphin_train_1_000104,lime,Spinner Dolphin,True,1.0,0.8744734625105307,0.054606724362410965
000001_seg02_spinner_dolphin_train_1_000104,saliency,Spinner Dolphin,True,1.0,0.3694434339759913,0.1970898508548563
000001_seg02_spinner_dolphin_train_1_000104,smoothgrad,Spinner Dolphin,True,1.0,0.306786915316417,0.18916233567716295
000001_seg02_spinner_dolphin_train_1_000104,input_x_gradient,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg02_spinner_dolphin_train_1_000104,guided_backprop,Spinner Dolphin,True,1.0,0.4281402368237752,0.18651807135670614
000186_seg01_spinner_dolphin_test_0_000237,gradcam,Spinner Dolphin,True,0.505194095133953,0.06404748886979614,0.11833164102163556
000186_seg01_spinner_dolphin_test_0_000237,integrated_gradients,Spinner Dolphin,True,0.666131007040098,0.04071013161922253,0.15151515151515152
000186_seg01_spinner_dolphin_test_0_000237,occlusion,Spinner Dolphin,True,0.5745698634364632,0.04513540621865597,0.16287323508988505
